Age,MonthlyCharges,TotalCharges,Tenure,Contract,PaymentMethod,InternetService,HasPhoneService,HasMultipleLines,SeniorCitizen,Churn
30,39.77425638667416,2731.535817428947,44,Month-to-month,Mailed check,DSL,1,0,0,1
44,55.67570734543755,6190.37815465838,20,Two year,Mailed check,Fiber optic,0,0,0,0
37,94.3687002831982,1251.8106658958995,25,Month-to-month,Credit card,No,0,0,0,1
34,49.96104425749556,1581.5442627799214,24,Month-to-month,Credit card,Fiber optic,0,0,0,0
46,11.039047712603844,2074.4357818621,66,Month-to-month,Bank transfer,DSL,0,1,0,0
56,61.992245172969234,2425.7829276360944,64,Month-to-month,Electronic check,Fiber optic,1,1,0,0
52,4.600472288737256,-1517.4827118293972,5,One year,Bank transfer,Fiber optic,1,0,1,1
25,52.661485602589444,3954.513414564578,55,Two year,Bank transfer,Fiber optic,1,0,0,0
60,24.24642122859141,1744.0906860259108,2,Month-to-month,Bank transfer,DSL,1,1,0,1
55,74.62342707143753,2444.730323952528,65,Month-to-month,Bank transfer,No,1,0,0,1
32,14.701523721075072,2229.4241669941716,53,Month-to-month,Bank transfer,Fiber optic,1,0,0,1
67,38.073755891710526,1171.3294157661824,13,One year,Electronic check,DSL,0,0,0,0
18,77.81735114597538,1334.1889147505262,23,One year,Bank transfer,DSL,1,0,0,0
50,116.34447072885419,2883.4896750800476,23,Month-to-month,Bank transfer,No,1,1,1,1
20,69.57823032577885,323.27383132742693,69,One year,Electronic check,DSL,1,1,0,0
56,65.31072171983091,3192.6263454479663,42,Month-to-month,Electronic check,DSL,0,1,1,1
55,57.676072776771086,200.46579139980082,68,Two year,Credit card,Fiber optic,1,1,1,0
65,54.45090854644141,1176.5556843807728,54,One year,Mailed check,No,0,1,0,0
79,36.19026234137617,2360.6152373054515,3,One year,Electronic check,DSL,1,1,0,0
32,54.6834959550602,702.1447670240901,4,Month-to-month,Electronic check,No,1,1,0,1
79,84.38630512321352,3674.404628015411,20,Two year,Mailed check,DSL,0,1,0,0
78,56.050100564648474,916.9163273189805,8,Month-to-month,Credit card,Fiber optic,1,0,0,1
59,64.6839472935265,747.6580074369812,34,Two year,Mailed check,No,1,1,0,0
35,85.39668769783842,2342.611091371694,5,One year,Electronic check,DSL,0,0,0,1
55,37.08117597429227,3291.786978998926,31,One year,Mailed check,DSL,1,0,0,0
48,44.56557648309576,228.96757856057403,47,Two year,Credit card,DSL,0,0,1,0
37,52.161690807760294,2937.3242807183888,44,One year,Mailed check,Fiber optic,1,0,1,0
76,63.47303421108544,3694.399856770613,36,Month-to-month,Electronic check,Fiber optic,1,0,0,0
24,47.78108699098886,1235.776248133305,69,One year,Electronic check,DSL,1,1,1,0
54,66.21014727598673,3588.0663092131576,23,One year,Credit card,DSL,0,1,0,0
44,51.175861400809715,1188.1919164680164,55,Month-to-month,Electronic check,DSL,1,0,0,0
25,72.4760400669222,2964.749287804717,33,Two year,Electronic check,DSL,1,1,1,0
31,45.264348315346254,754.4327809636169,59,One year,Credit card,DSL,1,0,1,0
67,82.80831203957437,2421.572242995878,30,Month-to-month,Bank transfer,Fiber optic,1,0,0,1
32,43.023335211600696,2159.2122396110044,37,Month-to-month,Electronic check,Fiber optic,1,0,0,0
24,55.42717284762391,2584.021708043579,37,Two year,Credit card,DSL,0,0,0,0
50,60.30396703131659,3537.776083630846,34,Month-to-month,Bank transfer,No,1,0,0,1
69,27.873674765271645,72.5369327232288,62,Month-to-month,Mailed check,DSL,1,0,0,0
51,64.12765709453036,4236.978381227425,25,One year,Credit card,Fiber optic,1,0,0,0
21,64.97935038676879,1854.8496127852059,22,Two year,Bank transfer,DSL,1,1,1,0
18,110.13133521787053,1057.7481227799506,54,Month-to-month,Credit card,DSL,0,0,0,1
58,64.11203025162483,1448.1492239007314,71,One year,Bank transfer,DSL,1,1,0,0
31,62.7284722073558,3049.3243304629173,53,Two year,Bank transfer,DSL,1,0,1,0
48,119.85377790935827,3965.155651617352,51,One year,Bank transfer,DSL,0,0,0,0
55,56.68818860824323,2175.373311467683,3,Month-to-month,Bank transfer,DSL,1,1,0,1
67,70.81964342982981,3905.682365266237,36,Two year,Electronic check,No,1,0,1,0
70,49.667010787974995,91.50527060625014,22,Month-to-month,Electronic check,DSL,0,0,1,1
37,43.87484145852436,2550.8060678598667,4,Two year,Credit card,No,1,0,0,0
20,54.58646141940994,3447.474178877975,41,Month-to-month,Mailed check,Fiber optic,1,0,0,0
52,68.78043629280432,2025.8569694123712,5,One year,Mailed check,No,0,1,0,0
63,72.8768012653283,1750.2968636045225,23,Month-to-month,Electronic check,DSL,1,0,0,0
50,59.16540726803322,2711.4666183881855,43,Two year,Bank transfer,No,0,0,0,0
32,64.70866395263148,1229.0518017516954,66,One year,Credit card,DSL,1,0,0,0
20,97.064291290301,-125.75108470036456,66,Two year,Mailed check,No,1,0,0,0
45,40.836129167777344,-1063.7006771161175,55,Month-to-month,Credit card,DSL,1,0,0,1
44,71.60347211901853,457.58585166379737,40,Two year,Bank transfer,DSL,0,0,0,0
64,85.12561355437688,881.6452751622651,29,Month-to-month,Bank transfer,Fiber optic,1,0,0,1
64,42.8140424201318,1534.9832714089532,56,Month-to-month,Credit card,DSL,1,0,0,1
50,21.887682864496725,287.2669216055236,8,Two year,Mailed check,Fiber optic,1,0,0,0
36,58.08060066720523,3389.548538882155,28,One year,Mailed check,DSL,1,0,0,0
73,82.37710362341787,2130.2512206338956,28,One year,Mailed check,Fiber optic,1,0,0,0
75,63.107659417875404,-492.6138016255124,3,One year,Bank transfer,DSL,1,1,0,1
50,50.646142968520685,628.8101418176655,28,Month-to-month,Bank transfer,Fiber optic,1,0,0,0
48,54.79534756494048,2849.229767820263,41,One year,Credit card,DSL,1,0,0,0
21,45.915469770064796,3377.241217093261,26,One year,Electronic check,DSL,1,1,0,0
49,101.74068770838737,2519.7020422737783,26,Two year,Mailed check,DSL,1,1,0,1
59,81.48084568142856,1034.4141241943048,21,One year,Credit card,DSL,1,0,0,0
45,53.5129008815945,1994.0528840360992,57,Two year,Credit card,Fiber optic,1,1,0,0
73,56.346766089619095,2961.2633748088,53,One year,Credit card,Fiber optic,1,1,0,0
33,104.80868886123613,4687.560341922889,45,One year,Electronic check,DSL,0,1,0,1
66,71.9109085130496,1886.8326030706296,16,Two year,Credit card,No,0,1,1,0
60,86.56796622896938,1211.6910623795409,58,One year,Bank transfer,No,1,1,0,0
45,40.46544246664273,220.95828968721975,5,Two year,Electronic check,DSL,0,1,1,1
32,76.34735701847825,1481.3417556268294,54,Two year,Credit card,Fiber optic,1,0,0,0
65,59.1959562681099,1461.7178950392,39,One year,Bank transfer,No,1,1,1,0
39,74.21959194877456,-611.7774924357788,53,One year,Electronic check,Fiber optic,1,0,0,0
48,48.72630772822227,1547.5935356464204,3,One year,Electronic check,DSL,1,1,0,0
77,90.95750502872016,1729.5738328174632,49,Month-to-month,Mailed check,No,1,0,0,1
38,49.74508463587089,3578.005116372718,44,Two year,Electronic check,Fiber optic,0,1,0,0
49,61.474173898768115,3435.9629177262773,41,Two year,Electronic check,No,1,0,0,0
24,16.76355119606103,2834.390015120262,30,Two year,Mailed check,DSL,1,1,0,0
50,69.35976067607979,3402.7918535390063,69,Two year,Credit card,DSL,1,0,0,0
25,79.26438159148086,626.0402008037875,9,Two year,Mailed check,DSL,1,0,0,0
31,55.50043574734588,-208.2029009007992,37,One year,Bank transfer,Fiber optic,1,0,0,0
79,69.69375059447081,1092.335872769989,61,One year,Credit card,Fiber optic,0,0,0,0
74,93.51849299194458,2238.878848892392,36,Month-to-month,Electronic check,No,0,0,0,1
42,70.98696529823903,3432.906380349591,25,Two year,Mailed check,DSL,1,1,0,0
49,61.941604528577855,-8.092092903763891,45,Month-to-month,Electronic check,Fiber optic,1,0,1,1
45,70.23848787730151,1976.9364379620383,27,Month-to-month,Credit card,No,1,1,0,0
19,63.31365544843607,2393.62291532061,9,One year,Bank transfer,No,1,0,0,0
34,66.85513839547744,3146.9291074879166,28,One year,Electronic check,No,1,1,0,0
44,76.26599423266606,-482.7931331347233,38,One year,Electronic check,DSL,1,1,0,0
19,45.325004442428856,-1626.6631143404163,6,One year,Bank transfer,DSL,1,1,0,1
25,68.0503045903799,1903.656383511092,45,One year,Bank transfer,Fiber optic,0,0,0,0
55,49.7811204148728,-303.7597834783039,47,One year,Electronic check,No,1,1,0,0
37,64.95796967277954,4552.1236323829025,48,Month-to-month,Bank transfer,No,1,0,0,0
66,78.19558304651653,1289.6003949116468,26,Two year,Bank transfer,DSL,1,0,0,0
54,32.53092450433124,3772.639203316133,46,Two year,Bank transfer,DSL,1,0,0,0
74,75.39174207552608,2803.2672836309384,8,One year,Bank transfer,Fiber optic,1,1,0,1
38,43.51891675798012,1415.561102296042,6,One year,Bank transfer,DSL,1,1,0,0
43,61.491691468846994,4108.188648859077,19,Month-to-month,Bank transfer,No,0,1,0,1
48,51.5336361450418,421.25399599328927,53,One year,Mailed check,No,1,1,0,0
37,65.50165718297926,190.5652389368252,14,Month-to-month,Bank transfer,DSL,1,0,0,0
23,67.47639124206879,1967.8985914823709,13,One year,Mailed check,DSL,0,0,1,0
67,58.77275044074805,2173.274774963924,57,Two year,Bank transfer,Fiber optic,1,1,1,0
32,65.64900040799178,1622.83356617149,69,Two year,Mailed check,Fiber optic,0,1,0,0
74,51.43021935355418,2230.920376069412,42,Month-to-month,Electronic check,DSL,1,1,0,0
18,49.061896454666865,-765.7931654701921,70,One year,Bank transfer,No,0,0,1,0
43,53.059488826784246,861.6224413100882,28,One year,Mailed check,No,0,0,0,0
46,30.555016443693837,3176.072971867834,23,Month-to-month,Credit card,Fiber optic,0,1,0,0
19,77.407924120881,1005.4380725256248,23,One year,Electronic check,No,1,1,0,0
39,42.59173755740842,3067.1593057414607,51,Two year,Bank transfer,DSL,1,1,0,0
78,62.29273028093126,1420.6476498234067,33,Two year,Credit card,No,1,0,0,0
77,66.9055681350924,3975.7362330414476,39,Two year,Electronic check,DSL,0,0,0,0
46,49.80050502373749,2511.2044285789807,60,Month-to-month,Electronic check,No,0,0,1,1
26,80.10790205198145,73.13791352899001,14,One year,Credit card,No,1,1,0,0
58,78.2289471138613,386.09210068226895,48,One year,Bank transfer,Fiber optic,1,1,1,0
38,63.16094683111725,-242.59078375409072,40,Two year,Electronic check,No,1,0,0,0
72,42.69641553144631,2019.631473684436,64,Month-to-month,Electronic check,DSL,1,1,0,1
74,72.79831724688555,4407.54523444938,53,Month-to-month,Bank transfer,Fiber optic,0,0,1,1
49,75.5412770713616,1907.1990145504549,44,Month-to-month,Electronic check,Fiber optic,1,0,1,1
49,41.269216416805335,1952.0513153344655,45,Two year,Bank transfer,No,1,1,1,0
64,69.0225663759241,1345.5124722831845,16,Month-to-month,Bank transfer,Fiber optic,1,1,0,0
61,95.28446853982145,2062.524665608093,63,Two year,Credit card,DSL,1,0,0,1
57,49.98692176689577,3947.990962697,6,One year,Credit card,DSL,1,1,1,1
43,56.80830272500225,3349.292637854314,69,One year,Credit card,DSL,1,1,0,0
65,62.75003579683935,1417.496963631847,25,One year,Credit card,No,1,1,1,0
79,97.42604069068295,2231.2787279345293,61,Month-to-month,Electronic check,DSL,1,0,0,1
30,77.35619019442228,6086.61562934341,44,Two year,Bank transfer,Fiber optic,0,0,0,0
20,48.91775378222143,5007.196966671591,56,Two year,Electronic check,No,1,1,0,0
49,75.30634416393711,1772.8000919511437,8,Two year,Bank transfer,DSL,1,1,0,1
50,45.806830568900764,5372.3019859424185,38,Month-to-month,Bank transfer,No,1,0,0,1
50,30.342720935047463,-246.72843348819862,57,Two year,Credit card,Fiber optic,0,0,0,0
59,45.87218823111873,745.5425033007858,64,Two year,Mailed check,Fiber optic,1,0,0,0
59,61.057923971087774,1191.4954885268965,40,One year,Bank transfer,No,0,1,0,0
30,67.80769799986065,1181.5766071806952,35,Two year,Electronic check,DSL,1,0,1,0
60,16.54043237882867,3448.758640782127,37,One year,Bank transfer,Fiber optic,0,0,0,0
23,76.29839272965454,1721.0991480951855,24,Two year,Bank transfer,No,1,0,1,0
21,99.25595878836641,1669.3382659904719,21,Month-to-month,Mailed check,Fiber optic,0,0,0,1
55,79.20250340285173,-437.1519402942976,71,Month-to-month,Mailed check,DSL,1,1,0,1
23,61.84230035764521,1008.0026574663881,2,One year,Credit card,No,1,0,0,0
68,71.87907031571571,459.9393645225837,67,Two year,Credit card,DSL,0,0,0,0
20,66.42109668663005,4001.605473293902,11,Month-to-month,Bank transfer,No,0,1,0,1
44,72.78416470250359,222.0308921664945,59,Month-to-month,Mailed check,DSL,1,0,0,0
57,81.47055390214148,2458.5266753823084,37,Month-to-month,Mailed check,No,1,0,0,1
37,79.12466650119181,831.587890052469,51,One year,Bank transfer,No,1,0,0,0
35,44.36466382294784,1982.1321525030075,17,Two year,Electronic check,No,0,1,1,0
37,68.99176159579744,3074.689423691388,45,Two year,Mailed check,No,1,1,0,0
47,79.84452611838341,1465.1579680619493,49,One year,Mailed check,No,1,0,0,0
27,60.247619958947965,-695.7684018344481,29,Month-to-month,Mailed check,Fiber optic,1,1,0,1
69,69.32149084436303,793.3481229139794,12,Month-to-month,Bank transfer,DSL,1,0,0,0
40,59.655071014656166,2655.930513637277,10,One year,Credit card,No,1,0,0,1
64,88.62404963845712,-712.9936705088311,24,Month-to-month,Mailed check,No,0,0,0,1
20,71.803490945382,-1217.343095539296,71,One year,Electronic check,No,1,1,0,0
69,74.44208776002705,772.7590777553398,19,Month-to-month,Mailed check,Fiber optic,1,0,0,1
67,63.025943257776916,-401.5007226705893,38,Month-to-month,Mailed check,Fiber optic,0,1,0,0
75,88.4092281724793,1207.959747211535,65,One year,Bank transfer,No,1,1,0,0
79,45.316416777941846,1182.4141373968164,22,One year,Electronic check,Fiber optic,1,0,1,0
26,88.20449231882326,1154.9224058028783,37,Month-to-month,Mailed check,DSL,0,0,0,1
66,57.05030067095477,1782.987179048848,50,One year,Mailed check,Fiber optic,1,0,0,0
36,64.89792007076112,895.4460948250634,53,Month-to-month,Bank transfer,No,1,1,0,1
53,101.41629467408798,2977.046935607917,36,Month-to-month,Electronic check,Fiber optic,1,1,0,1
57,64.26522436514705,2790.97460900967,8,Two year,Bank transfer,Fiber optic,0,0,0,1
44,61.925218868563476,336.5933756565419,11,Two year,Bank transfer,No,1,1,0,1
59,62.751341259145775,2160.942549674081,22,Two year,Mailed check,DSL,0,0,0,0
45,86.2146735462352,521.7995075170684,60,One year,Electronic check,No,1,1,1,1
60,55.53763230158917,2118.8037161551183,18,Two year,Bank transfer,No,1,0,0,0
68,86.73647815900357,770.1616675303416,15,Two year,Credit card,No,1,1,1,1
25,44.687232092172636,1474.3287422562385,18,Month-to-month,Bank transfer,No,0,0,1,1
59,48.790224429095886,-1123.9532566798625,52,One year,Electronic check,Fiber optic,0,0,0,0
65,94.23980040251251,2859.685180109999,67,One year,Bank transfer,DSL,1,1,0,1
25,75.05444627452215,2810.2780491991507,15,Month-to-month,Electronic check,Fiber optic,1,1,1,1
35,55.34774292851384,1662.4303445745177,48,Two year,Electronic check,No,1,0,0,0
76,75.70059493622625,10.682993828530552,18,One year,Bank transfer,Fiber optic,0,1,0,0
38,65.12651672292922,4625.90609421591,28,Month-to-month,Bank transfer,No,1,0,1,1
63,85.34267574185998,2299.9968950615075,36,Two year,Credit card,DSL,1,1,0,0
30,99.49190893784927,4308.431767144698,60,Month-to-month,Bank transfer,No,0,0,0,1
44,80.15043787655824,955.175127057289,20,Two year,Bank transfer,Fiber optic,0,1,1,1
64,46.2627480606068,873.1950401597693,42,Month-to-month,Mailed check,DSL,1,1,0,0
77,80.61427073923298,2981.717310807873,19,One year,Credit card,No,1,0,0,0
79,55.4352854153741,-153.24414705446245,9,One year,Electronic check,Fiber optic,1,0,0,1
57,62.37169899593776,1296.6396432974173,7,Two year,Bank transfer,Fiber optic,1,0,0,0
70,73.44224290365489,2461.031457582198,28,Two year,Bank transfer,Fiber optic,1,0,0,0
33,81.2071072007505,1982.9679789454146,50,Month-to-month,Credit card,DSL,1,1,0,1
57,64.55346497669058,2714.938192763021,18,One year,Mailed check,DSL,1,1,1,0
26,50.51709038428219,614.8485505010489,53,Two year,Mailed check,DSL,1,1,1,0
44,80.56472073377982,337.9453639252438,31,Month-to-month,Bank transfer,Fiber optic,1,1,0,1
34,77.26357614195472,-952.0091578121393,39,Two year,Credit card,DSL,1,0,0,0
20,73.45522582854052,1316.6736974837092,8,Month-to-month,Mailed check,DSL,1,1,1,1
73,61.721576735405755,1728.0723451399676,13,Two year,Mailed check,No,1,0,0,0
70,16.794616067488857,1764.9369712474713,49,Two year,Electronic check,No,1,1,0,0
21,26.18416943587928,831.4432123618533,70,Two year,Mailed check,DSL,1,1,0,0
57,57.6713986814692,2026.3523065337636,46,Two year,Bank transfer,No,1,0,0,0
69,89.83549751656437,551.7924977529757,47,Month-to-month,Electronic check,DSL,0,1,1,1
73,46.334680651735326,3921.929326548441,21,Two year,Bank transfer,DSL,1,0,1,0
18,76.40221736580004,3641.084256252156,70,One year,Credit card,Fiber optic,1,1,0,0
31,72.93057683284789,1222.597769888673,41,Two year,Electronic check,DSL,1,0,0,0
25,74.33035158792326,2802.8053997391744,43,Two year,Credit card,DSL,0,1,0,0
24,77.67262460541333,3183.7237815082367,26,One year,Bank transfer,DSL,1,1,0,0
47,89.67703632591355,2823.502329686626,5,Two year,Bank transfer,No,0,0,1,1
42,45.354107071294706,3174.7118311261966,39,Month-to-month,Mailed check,DSL,1,1,0,0
56,38.88301304499399,1847.3830580699118,33,Month-to-month,Electronic check,DSL,1,0,0,0
33,75.2391024596701,3604.1643474981943,40,Two year,Mailed check,Fiber optic,1,1,0,0
28,77.76316217518382,3221.6358604969378,20,Month-to-month,Bank transfer,No,0,1,1,1
42,55.598469238729855,-109.64542877873595,35,Two year,Bank transfer,DSL,1,0,0,0
50,49.02177236016393,1101.2440055478007,45,One year,Bank transfer,DSL,1,1,0,0
78,88.3509117856546,1718.4745109336786,29,Month-to-month,Bank transfer,Fiber optic,1,1,0,1
71,37.6149934833102,2318.7318891329064,46,Two year,Mailed check,No,1,1,0,0
69,66.74987053041157,2339.4723246755198,61,Month-to-month,Mailed check,No,1,1,0,1
68,70.05122454231146,-2885.169542159357,68,Two year,Bank transfer,DSL,1,1,1,0
65,101.74557580457153,1469.9570568680388,52,One year,Electronic check,No,1,0,0,0
38,62.80012981915872,2640.3030860710765,47,Two year,Electronic check,Fiber optic,1,1,0,0
69,52.60830199051556,2538.560424194741,47,Month-to-month,Credit card,No,1,1,0,0
69,42.53143851907987,-1618.6599709021334,6,Month-to-month,Bank transfer,Fiber optic,1,0,0,1
27,56.79399824836497,4077.6768866268512,54,One year,Electronic check,DSL,1,0,0,0
